2023-06-08 15:08:07 status half-configured mailcap:all 3.70+nmu1ubuntu1
2023-06-08 15:08:07 status installed mailcap:all 3.70+nmu1ubuntu1
2023-06-08 15:08:07 trigproc desktop-file-utils:amd64 0.26-1ubuntu3 <none>
2023-06-08 15:08:07 status half-configured desktop-file-utils:amd64 0.26-1ubuntu3
2023-06-08 15:08:07 status installed desktop-file-utils:amd64 0.26-1ubuntu3
2023-06-08 15:08:12 startup archives unpack
2023-06-08 15:08:13 upgrade ncurses-base:all 6.3-2 6.3-2ubuntu0.1
2023-06-08 15:08:13 status half-configured ncurses-base:all 6.3-2
2023-06-08 15:08:13 status unpacked ncurses-base:all 6.3-2
2023-06-08 15:08:13 status half-installed ncurses-base:all 6.3-2
2023-06-08 15:08:13 status unpacked ncurses-base:all 6.3-2ubuntu0.1
2023-06-08 15:08:13 startup packages configure
2023-06-08 15:08:13 configure ncurses-base:all 6.3-2ubuntu0.1 <none>
2023-06-08 15:08:13 status unpacked ncurses-base:all 6.3-2ubuntu0.1
2023-06-08 15:08:13 status half-configured ncurses-base:all 6.3-2ubuntu0.1
2023-06-08 15:08:13 status installed ncurses-base:all 6.3-2ubuntu0.1
2023-06-08 15:08:13 startup packages configure
2023-06-08 15:08:19 startup packages remove
2023-06-08 15:08:19 status installed linux-headers-5.19.0-41-generic:amd64 5.19.0-41.42~22.04.1
2023-06-08 15:08:19 remove linux-headers-5.19.0-41-generic:amd64 5.19.0-41.42~22.04.1 <none>
2023-06-08 15:08:19 status half-configured linux-headers-5.19.0-41-generic:amd64 5.19.0-41.42~22.04.1
2023-06-08 15:08:19 status half-installed linux-headers-5.19.0-41-generic:amd64 5.19.0-41.42~22.04.1
2023-06-08 15:08:19 status config-files linux-headers-5.19.0-41-generic:amd64 5.19.0-41.42~22.04.1
2023-06-08 15:08:19 status not-installed linux-headers-5.19.0-41-generic:amd64 <none>
2023-06-08 15:08:19 startup packages configure
2023-06-08 15:08:25 startup packages remove
2023-06-08 15:08:25 status installed linux-image-5.19.0-41-generic:amd64 5.19.0-41.42~22.04.1
2023-06-08 15:08:25 remove linux-image-5.19.0-41-generic:amd64 5.19.0-41.42~22.04.1 <none>
